n,GFLOPS
2,0.0856531
3,0.16791
4,0.222531
5,0.217581
6,0.227129
7,0.261892
8,0.232474
9,0.222589
10,0.223864
11,0.231756
12,0.212515
13,0.246284
14,0.223133
15,0.253979
16,0.255617
17,0.255707
18,0.266075
19,0.274859
20,0.272572
21,0.293004
22,0.28918
23,0.214092
24,0.208847
25,0.294201
26,0.282656
27,0.2445
28,0.211087
29,0.216937
30,0.22702
31,0.22171
32,0.217877
33,0.223963
34,0.227541
35,0.22401
36,0.221956
37,0.2062
38,0.0714466
39,0.214234
40,0.274203
41,0.181125
42,0.40562
43,0.22646
44,0.391475
45,0.214822
46,0.208415
47,0.3994
48,0.402839
49,0.198032
50,0.269786
51,0.252054
52,0.170145
53,0.256973
54,0.419436
55,0.317809
56,0.418871
57,0.411084
58,0.413161
59,0.404124
60,0.335874
61,0.244423
62,0.330275
63,0.223258
64,0.201657
65,0.228201
66,0.225764
67,0.19349
68,0.35504
69,0.142917
70,0.353528
71,0.404429
72,0.41223
73,0.419821
74,0.226053
75,0.0939771
76,0.228524
77,0.229021
78,0.229994
79,0.232889
80,0.194608
81,0.228185
82,0.198715
83,0.223511
84,0.224813
85,0.265042
86,0.416573
87,0.145059
88,0.188586
89,0.230877
90,0.330411
91,0.309233
92,0.351059
93,0.354254
94,0.313599
95,0.302327
96,0.425147
97,0.426457
98,0.384408
99,0.274267
100,0.305417
101,0.408275
102,0.302275
103,0.39666
104,0.252883
105,0.304636
106,0.363375
107,0.426881
108,0.425749
109,0.297005
110,0.431065
111,0.374462
112,0.43049
113,0.429928
114,0.417463
115,0.223361
116,0.432028
117,0.358836
118,0.330451
119,0.427711
120,0.424045
121,0.192415
122,0.207408
123,0.326406
124,0.331389
125,0.424351
126,0.424028
127,0.428784
128,0.336179
129,0.302751
130,0.40706
131,0.231499
132,0.30494
133,0.365312
134,0.376402
135,0.432241
136,0.424186
137,0.307316
138,0.422686
139,0.280408
140,0.312332
141,0.416438
142,0.37381
143,0.419537
144,0.419061
145,0.329035
146,0.431877
147,0.422926
148,0.40271
149,0.35768
150,0.41893
151,0.387043
152,0.41392
153,0.246618
154,0.298187
155,0.421437
156,0.296897
157,0.424243
158,0.428822
159,0.418412
160,0.423271
161,0.432515
162,0.413851
163,0.26807
164,0.39516
165,0.426355
166,0.423432
167,0.404178
168,0.349873
169,0.419681
170,0.429004
171,0.429167
172,0.309791
173,0.399225
174,0.336371
175,0.417231
176,0.423794
177,0.430184
178,0.389627
179,0.395025
180,0.425167
181,0.420014
182,0.296409
183,0.379382
184,0.274344
185,0.42737
186,0.429958
187,0.431564
188,0.358517
189,0.360147
190,0.431948
191,0.303546
192,0.431977
193,0.345427
194,0.430886
195,0.270649
196,0.372284
197,0.274171
198,0.304013
199,0.370532
200,0.419461
201,0.335451
202,0.421426
203,0.433497
204,0.388826
205,0.4129
206,0.347467
207,0.395295
208,0.305698
209,0.401547
210,0.418611
211,0.373251
212,0.361881
213,0.219491
214,0.197647
215,0.432456
216,0.322554
217,0.366011
218,0.43052
219,0.378737
220,0.17812
221,0.174772
222,0.341613
223,0.371369
224,0.311134
225,0.436014
226,0.343788
227,0.340303
228,0.437092
229,0.357167
230,0.320532
231,0.342249
232,0.364446
233,0.430495
234,0.354613
235,0.351388
236,0.436197
237,0.302424
238,0.336111
239,0.411243
240,0.331822
241,0.422149
242,0.437077
243,0.329484
244,0.400633
245,0.435992
246,0.432997
247,0.396502
248,0.378254
249,0.426873
250,0.335504
251,0.422156
252,0.437712
253,0.436528
254,0.438677
255,0.421239
256,0.438603
257,0.392919
258,0.436652
259,0.438512
260,0.437866
261,0.431525
262,0.363009
263,0.438544
264,0.430916
265,0.431736
266,0.437421
267,0.432553
268,0.373854
269,0.438026
270,0.438462
271,0.384661
272,0.367174
273,0.32884
274,0.400246
275,0.437724
276,0.432723
277,0.402494
278,0.286163
279,0.427648
280,0.386055
281,0.437998
282,0.35094
283,0.427072
