n,GFLOPS
2,0.110957
3,0.17988
4,0.218505
5,0.223894
6,0.223973
7,0.262172
8,0.21454
9,0.307491
10,0.173599
11,0.163987
12,0.168808
13,0.160592
14,0.167104
15,0.168433
16,0.169214
17,0.144775
18,0.170715
19,0.172458
20,0.172666
21,0.175902
22,0.123553
23,0.115263
24,0.120879
25,0.144185
26,0.142082
27,0.154073
28,0.260953
29,0.32207
30,0.336129
31,0.278704
32,0.266906
33,0.292517
34,0.286157
35,0.191947
36,0.323451
37,0.307654
38,0.311067
39,0.216697
40,0.163361
41,0.151363
42,0.273166
43,0.330421
44,0.259678
45,0.178418
46,0.264064
47,0.305932
48,0.153352
49,0.186586
50,0.283803
51,0.326594
52,0.263382
53,0.310204
54,0.159099
55,0.188187
56,0.209448
57,0.250116
58,0.308983
59,0.256484
60,0.323679
61,0.317324
62,0.273228
63,0.317988
64,0.320798
65,0.314527
66,0.282639
67,0.301653
68,0.296973
69,0.300963
70,0.287412
71,0.303101
72,0.30987
73,0.288091
74,0.315194
75,0.308929
76,0.342731
77,0.312166
78,0.309138
79,0.30277
80,0.312542
81,0.312211
82,0.312751
83,0.317635
84,0.331482
85,0.314002
86,0.320522
87,0.328681
88,0.317544
89,0.302381
90,0.331145
91,0.317945
92,0.309517
93,0.304442
94,0.313407
95,0.310987
96,0.320556
97,0.307383
98,0.333121
99,0.327034
100,0.318864
101,0.332003
102,0.336116
103,0.339148
104,0.345801
105,0.337485
106,0.325279
107,0.338222
108,0.347396
109,0.342236
110,0.344011
111,0.340886
112,0.341687
113,0.342558
114,0.334992
115,0.321365
116,0.32064
117,0.344669
118,0.342194
119,0.346516
120,0.338749
121,0.349985
122,0.34709
123,0.348844
124,0.347019
125,0.344655
126,0.34278
127,0.334443
128,0.331927
129,0.319611
130,0.325183
131,0.319789
132,0.32865
133,0.323812
134,0.328997
135,0.319419
136,0.300903
137,0.317706
138,0.29876
139,0.30223
140,0.317688
141,0.309612
142,0.285366
143,0.296224
144,0.29281
145,0.283849
146,0.276963
147,0.31203
148,0.301912
149,0.161624
150,0.311176
151,0.31527
152,0.293691
153,0.306983
154,0.292939
155,0.289589
156,0.286871
157,0.299966
158,0.298374
159,0.309592
160,0.298918
161,0.303756
162,0.3072
163,0.298899
164,0.314678
165,0.304677
166,0.294734
167,0.293944
168,0.287569
169,0.280129
170,0.294095
171,0.285536
172,0.308519
173,0.21578
174,0.295749
175,0.291505
176,0.303178
177,0.293722
178,0.304399
179,0.296145
180,0.289972
181,0.296709
182,0.313807
183,0.315935
184,0.310456
185,0.281497
186,0.293857
187,0.274721
188,0.251288
189,0.277628
190,0.296593
191,0.295765
192,0.291172
193,0.248051
194,0.286518
195,0.272779
196,0.24418
197,0.296815
198,0.291574
199,0.289672
200,0.278748
201,0.291267
202,0.284931
203,0.297097
204,0.281472
205,0.285299
206,0.277381
207,0.312221
208,0.275137
209,0.267685
210,0.259677
211,0.263184
212,0.279671
213,0.28704
214,0.270928
215,0.280581
216,0.282589
217,0.258412
218,0.255862
219,0.278021
220,0.297207
221,0.281649
222,0.298732
223,0.279645
224,0.276
225,0.273666
226,0.277143
227,0.292153
228,0.303698
229,0.302676
230,0.281373
231,0.282931
232,0.287674
233,0.293172
234,0.298152
235,0.280341
236,0.28121
237,0.286108
238,0.288455
239,0.284448
240,0.218556
241,0.264343
242,0.222614
243,0.283912
244,0.273347
245,0.264336
246,0.266665
247,0.252406
248,0.237102
249,0.251411
250,0.217002
251,0.249449
252,0.27705
253,0.269003
254,0.267893
255,0.288392
256,0.29054
257,0.315524
258,0.311927
259,0.315689
260,0.316376
261,0.313965
262,0.315499
263,0.297653
264,0.314764
265,0.31679
266,0.313671
267,0.31566
268,0.315843
269,0.316241
270,0.313575
271,0.299815
272,0.311642
273,0.298088
274,0.257273
275,0.272275
276,0.278846
277,0.249039
278,0.295309
279,0.311423
280,0.291558
281,0.285097
282,0.29546
283,0.292566
284,0.291773
285,0.30562
286,0.307289
287,0.307591
288,0.303194
289,0.309509
290,0.31043
291,0.309074
292,0.301057
293,0.27341
294,0.235398
295,0.277321
296,0.287943
297,0.274971
298,0.294297
299,0.288196
300,0.233645
301,0.233949
302,0.294942
303,0.257957
304,0.254791
305,0.273173
306,0.297631
307,0.30908
308,0.295287
309,0.313727
310,0.314175
311,0.292897
312,0.313531
313,0.307404
314,0.313543
315,0.313858
316,0.313137
317,0.311781
318,0.313421
319,0.261742
320,0.28608
321,0.286774
322,0.261416
323,0.28768
324,0.256319
325,0.248225
326,0.297999
